code|level|name|nuts0|nuts1|nuts2|pop3|pop2|pop1|pop0|density|fertility|popchange|womenratio|gdppps|gva
DEF0|2|Schleswig-Holstein|DE|DEF|DEF0|0.0|0.19224620836921302|0.5432372505543237|1.0|0.008852077746398653|0.20779220779220783|0.09965062559569701|0.5432372505543237|0.18132854578096946|0.0282800025530757
DEG0|2|Thüringen|DE|DEG|DEG0|0.0|0.14223421253042515|0.49667405764966754|1.0|0.006251038279896527|0.21558441558441563|0.08830506365231326|0.49667405764966754|0.15978456014362658|0.01868675898056517
DK01|2|Hovedstaden|DK|DK0|DK01|0.0|0.12182084554901287|0.5343680709534369|0.0695064468801742|0.0355934214585756|0.22597402597402597|0.10421283002373681|0.5343680709534369|0.3913824057450629|0.03553009800651176
ES2|1|Noreste|ES|ES2||0.0|0.0|0.5521064301552105|0.5651748623643038|0.0029570211453117216|0.13766233766233768|0.11053177151945993|0.5521064301552105|0.16876122082585276|0.041035250060623286
ES3|1|Comunidad de Madrid|ES|ES3||0.0|0.0|0.6430155210643014|0.5651748623643038|0.039205448892896975|0.1272727272727273|0.16433345677288536|0.6430155210643014|0.19569120287253144|0.06847914518181829
ES4|1|Centro (ES)|ES|ES4||0.0|0.0|0.4767184035476715|0.5651748623643038|0.0011628734841113513|0.1116883116883117|0.08412380177631539|0.4767184035476715|0.11310592459605028|0.03558903818975505
ES5|1|Este|ES|ES5||0.0|0.0|0.5321507760532149|0.5651748623643038|0.010736407432897454|0.13246753246753248|0.1913614067252296|0.5321507760532149|0.1490125673249551|0.11126785207244026
ES6|1|Sur|ES|ES6||0.0|0.0|0.49889135254988903|0.5651748623643038|0.004808125875121627|0.15064935064935067|0.116431827977878|0.49889135254988903|0.10053859964093358|0.05831206573351952
ES7|1|Canarias|ES|ES7||0.0|0.0|0.48780487804878025|0.5651748623643038|0.013954481809336214|0.05194805194805194|0.11707533252794083|0.48780487804878025|0.11131059245960502|0.01358869874905795
AT31|2|Oberösterreich|AT|AT3|AT31|0.0|0.09836229424149963|0.48558758314855877|0.10629438713167927|0.0059235351353916985|0.22077922077922077|0.1008860329158648|0.48558758314855877|0.24775583482944347|0.019041312719793153
